date,cash,position_quantity,position_market_value,equity
2005-04-01,100000.0,0,0.0,100000.0
2005-04-04,100000.0,0,0.0,100000.0
2005-04-05,100000.0,0,0.0,100000.0
2005-04-06,100000.0,0,0.0,100000.0
2005-04-07,100000.0,0,0.0,100000.0
2005-04-08,100000.0,0,0.0,100000.0
2005-04-11,100000.0,0,0.0,100000.0
2005-04-12,100000.0,0,0.0,100000.0
2005-04-13,100000.0,0,0.0,100000.0
2005-04-15,100000.0,0,0.0,100000.0
2005-04-18,100000.0,0,0.0,100000.0
2005-04-19,100000.0,0,0.0,100000.0
2005-04-20,100000.0,0,0.0,100000.0
2005-04-21,100000.0,0,0.0,100000.0
2005-04-22,100000.0,0,0.0,100000.0
2005-04-25,100000.0,0,0.0,100000.0
2005-04-26,100000.0,0,0.0,100000.0
2005-04-27,100000.0,0,0.0,100000.0
2005-04-28,100000.0,0,0.0,100000.0
2005-04-29,100000.0,0,0.0,100000.0
2005-05-02,100000.0,0,0.0,100000.0
2005-05-03,100000.0,0,0.0,100000.0
2005-05-04,100000.0,0,0.0,100000.0
2005-05-05,100000.0,0,0.0,100000.0
2005-05-06,100000.0,0,0.0,100000.0
2005-05-09,100000.0,0,0.0,100000.0
2005-05-10,100000.0,0,0.0,100000.0
2005-05-11,100000.0,0,0.0,100000.0
2005-05-12,100000.0,0,0.0,100000.0
2005-05-13,100000.0,0,0.0,100000.0
2005-05-16,100000.0,0,0.0,100000.0
2005-05-17,100000.0,0,0.0,100000.0
2005-05-18,100000.0,0,0.0,100000.0
2005-05-19,100000.0,0,0.0,100000.0
2005-05-20,100000.0,0,0.0,100000.0
2005-05-23,100000.0,0,0.0,100000.0
2005-05-24,100000.0,0,0.0,100000.0
2005-05-25,100000.0,0,0.0,100000.0
2005-05-26,78316.2325,639,21630.15,99946.3825
2005-05-27,78316.2325,639,22179.69,100495.9225
2005-05-30,78316.2325,639,21994.38,100310.6125
2005-05-31,78316.2325,639,22582.26,100898.4925
2005-06-01,78316.2325,639,22473.63,100789.8625
2005-06-02,78316.2325,639,22039.11,100355.3425
2005-06-03,78316.2325,639,22345.83,100662.0625
2005-06-04,78316.2325,639,22333.05,100649.2825
2005-06-06,78316.2325,639,22333.05,100649.2825
2005-06-07,78316.2325,639,21892.14,100208.3725
2005-06-08,78316.2325,639,22326.66,100642.8925
2005-06-09,78316.2325,639,22249.98,100566.2125
2005-06-10,78316.2325,639,22064.67,100380.9025
2005-06-13,78316.2325,639,22198.86,100515.0925
2005-06-14,78316.2325,639,22179.69,100495.9225
2005-06-15,78316.2325,639,22090.23,100406.4625
2005-06-16,78316.2325,639,21879.36,100195.5925
2005-06-17,100320.5417,0,0.0,100320.5417
2005-06-20,100320.5417,0,0.0,100320.5417
2005-06-21,100320.5417,0,0.0,100320.5417
2005-06-22,100320.5417,0,0.0,100320.5417
2005-06-23,100320.5417,0,0.0,100320.5417
2005-06-24,100320.5417,0,0.0,100320.5417
2005-06-27,77393.9523,632,22859.44,100253.3923
2005-06-28,77393.9523,632,22240.08,99634.0323
2005-06-29,77393.9523,632,22549.76,99943.7123
2005-06-30,77393.9523,632,23213.36,100607.3123
2005-07-01,77393.9523,632,23333.44,100727.3923
2005-07-04,77393.9523,632,23510.4,100904.3523
2005-07-05,77393.9523,632,23371.36,100765.3123
2005-07-06,77393.9523,632,23409.28,100803.2323
2005-07-07,77393.9523,632,23472.48,100866.4323
2005-07-08,77393.9523,632,23712.64,101106.5923
2005-07-11,77393.9523,632,23820.08,101214.0323
2005-07-12,77393.9523,632,24357.28,101751.2323
2005-07-13,77393.9523,632,24148.72,101542.6723
2005-07-14,77393.9523,632,24648.0,102041.9523
2005-07-15,77393.9523,632,24685.92,102079.8723
2005-07-18,77393.9523,632,24281.44,101675.3923
2005-07-19,77393.9523,632,23725.28,101119.2323
2005-07-20,77393.9523,632,23371.36,100765.3123
2005-07-21,100836.652,0,0.0,100836.652
2005-07-22,100836.652,0,0.0,100836.652
2005-07-25,100836.652,0,0.0,100836.652
2005-07-26,100836.652,0,0.0,100836.652
2005-07-27,100836.652,0,0.0,100836.652
2005-07-29,100836.652,0,0.0,100836.652
2005-08-01,100836.652,0,0.0,100836.652
2005-08-02,100836.652,0,0.0,100836.652
2005-08-03,100836.652,0,0.0,100836.652
2005-08-04,100836.652,0,0.0,100836.652
2005-08-05,100836.652,0,0.0,100836.652
2005-08-08,100836.652,0,0.0,100836.652
2005-08-09,100836.652,0,0.0,100836.652
2005-08-10,100836.652,0,0.0,100836.652
2005-08-11,100836.652,0,0.0,100836.652
2005-08-12,100836.652,0,0.0,100836.652
2005-08-16,100836.652,0,0.0,100836.652
2005-08-17,100836.652,0,0.0,100836.652
2005-08-18,100836.652,0,0.0,100836.652
2005-08-19,100836.652,0,0.0,100836.652
2005-08-22,100836.652,0,0.0,100836.652
2005-08-23,100836.652,0,0.0,100836.652
2005-08-24,100836.652,0,0.0,100836.652
2005-08-25,100836.652,0,0.0,100836.652
2005-08-26,100836.652,0,0.0,100836.652
2005-08-29,100836.652,0,0.0,100836.652
2005-08-30,100836.652,0,0.0,100836.652
2005-08-31,100836.652,0,0.0,100836.652
2005-09-01,100836.652,0,0.0,100836.652
2005-09-02,100836.652,0,0.0,100836.652
2005-09-05,75597.2515,634,25112.74,100709.9915
2005-09-06,75597.2515,634,25600.92,101198.1715
2005-09-08,75597.2515,634,25493.14,101090.3915
2005-09-09,75597.2515,634,25632.62,101229.8715
2005-09-12,75597.2515,634,26196.88,101794.1315
