trade_id,symbol,signal_date,entry_date,entry_reference_price,entry_price,initial_stop,atr_at_signal,quantity,risk_budget,exit_date,exit_reference_price,exit_price,exit_reason,gross_pnl,transaction_cost,net_pnl,return_pct,r_multiple,holding_days
1,ITC,2005-05-26,2005-05-27,33.9,33.9169,32.3536,0.781662,639,1000.0,2005-06-17,34.47,34.4528,TREND_EXIT,342.3858,21.8441,320.5417,1.479,0.3205,21
2,ITC,2005-06-27,2005-06-28,36.24,36.2581,34.6729,0.792593,632,1003.2054,2005-07-21,37.13,37.1114,TREND_EXIT,539.2951,23.1848,516.1103,2.2523,0.5145,23
3,ITC,2005-09-05,2005-09-06,39.77,39.7899,38.1999,0.794996,634,1008.3665,2005-10-06,43.67,43.6482,TREND_EXIT,2446.1495,26.4499,2419.6997,9.5918,2.3996,30
4,ITC,2005-11-24,2005-11-25,44.78,44.8024,41.8507,1.475851,349,1032.5635,2005-12-27,45.74,45.7171,TREND_EXIT,319.2443,15.7957,303.4486,1.9407,0.2939,32
5,ITC,2006-01-04,2006-01-05,48.74,48.7644,45.7896,1.487375,348,1035.598,2006-01-18,45.7896,45.7667,STOP_LOSS,-1043.1806,16.4484,-1059.6291,-6.2441,-1.0232,13
6,ITC,2006-01-23,2006-01-24,50.55,50.5753,47.6405,1.467377,349,1025.0017,2006-04-17,62.67,62.6387,TREND_EXIT,4210.1231,19.7558,4190.3673,23.7404,4.0882,83
7,ITC,2006-08-29,2006-08-30,61.32,61.3507,58.0376,1.656508,322,1066.9054,2006-09-12,60.3,60.2698,TREND_EXIT,-348.0208,19.5809,-367.6017,-1.8608,-0.3445,13
8,ITC,2006-10-16,2006-10-17,65.2,65.2326,62.3604,1.436079,370,1063.2294,2006-10-20,62.3604,62.3293,STOP_LOSS,-1074.2354,23.5989,-1097.8343,-4.5485,-1.0325,3
9,ITC,2007-07-27,2007-07-30,58.34,58.3692,54.7693,1.799932,292,1052.251,2007-08-01,54.7693,54.7419,STOP_LOSS,-1059.1564,16.5142,-1075.6706,-6.3112,-1.0223,2
10,ITC,2007-09-10,2007-09-11,61.34,61.3707,57.302,2.034317,255,1041.4943,2007-10-08,59.67,59.6402,TREND_EXIT,-441.2788,15.4289,-456.7077,-2.9183,-0.4385,27
11,ITC,2007-11-15,2007-11-16,62.98,63.0115,57.7421,2.634713,196,1036.9272,2007-12-11,65.57,65.5372,TREND_EXIT,495.0421,12.5978,482.4443,3.9064,0.4653,25
12,ITC,2007-12-27,2007-12-28,66.3,66.3331,60.3437,2.994733,173,1041.7517,2008-01-17,68.95,68.9155,TREND_EXIT,446.7509,11.699,435.0519,3.7911,0.4176,20
13,ITC,2008-04-30,2008-05-02,73.62,73.6568,68.8563,2.400232,217,1046.1022,2008-05-26,68.8563,68.8219,STOP_LOSS,-1049.1717,15.4589,-1064.6307,-6.6608,-1.0177,24
14,ITC,2009-03-27,2009-03-30,61.29,61.3206,57.1264,2.097134,246,1035.4559,2009-05-11,62.96,62.9285,TREND_EXIT,395.5373,15.2826,380.2546,2.5208,0.3672,42
15,ITC,2009-07-07,2009-07-08,69.78,69.8149,63.9817,2.916585,178,1039.2584,2009-08-10,76.89,76.8516,TREND_EXIT,1252.5264,13.0533,1239.4731,9.974,1.1927,33
16,ITC,2009-10-23,2009-10-26,87.34,87.3837,81.968,2.707835,194,1051.6532,2009-11-03,81.968,81.927,STOP_LOSS,-1058.591,16.4231,-1075.0142,-6.3414,-1.0222,8
17,ITC,2009-11-23,2009-11-24,89.5,89.5447,84.0268,2.758976,188,1040.903,2009-11-27,84.0268,83.9848,STOP_LOSS,-1045.2734,16.3118,-1061.5852,-6.306,-1.0199,3
18,ITC,2010-05-21,2010-05-24,91.16,91.2056,85.6959,2.754832,186,1030.2872,2010-05-26,86.86,86.8166,TREND_EXIT,-816.3559,16.5561,-832.9119,-4.9098,-0.8084,2
19,ITC,2010-05-27,2010-05-28,92.15,92.1961,86.3009,2.94758,173,1021.9581,2010-07-20,96.79,96.7416,TREND_EXIT,786.3767,16.3431,770.0336,4.8278,0.7535,53
20,ITC,2010-08-02,2010-08-03,105.21,105.2626,100.9587,2.151968,239,1029.6584,2010-08-04,100.9587,100.9082,STOP_LOSS,-1040.7052,24.6374,-1065.3426,-4.2346,-1.0347,1
21,ITC,2010-09-20,2010-09-21,117.91,117.969,112.7337,2.617617,194,1019.005,2010-10-08,112.7337,112.6774,STOP_LOSS,-1026.5704,22.3727,-1048.9431,-4.5833,-1.0294,17
22,ITC,2010-12-30,2010-12-31,115.25,115.3076,110.6247,2.341482,215,1008.5155,2011-01-10,114.16,114.1029,TREND_EXIT,-259.0116,24.6616,-283.6732,-1.1443,-0.2813,10
23,ITC,2011-03-31,2011-04-01,120.69,120.7503,115.3949,2.677726,187,1005.6788,2011-05-04,124.5,124.4378,TREND_EXIT,689.5447,22.9251,666.6196,2.9522,0.6629,33
24,ITC,2011-06-30,2011-07-01,136.9,136.9684,131.047,2.960724,170,1012.345,2011-07-05,131.047,130.9815,STOP_LOSS,-1017.785,22.7757,-1040.5607,-4.4689,-1.0279,4
25,ITC,2011-07-29,2011-08-01,139.22,139.2896,133.1103,3.089679,162,1001.9394,2011-08-04,133.1103,133.0437,STOP_LOSS,-1011.8378,22.059,-1033.8968,-4.5819,-1.0319,3
26,ITC,2011-10-28,2011-10-31,142.77,142.8414,136.976,2.932692,169,991.6004,2011-11-17,136.976,136.9075,STOP_LOSS,-1002.8245,23.6388,-1026.4632,-4.2521,-1.0352,17
27,ITC,2012-01-13,2012-01-16,137.13,137.1986,132.4375,2.380551,206,981.3358,2012-01-23,132.4375,132.3712,STOP_LOSS,-994.428,27.7657,-1022.1937,-3.6167,-1.0416,7
28,ITC,2012-03-16,2012-03-19,143.86,143.9319,137.4026,3.264651,148,971.1139,2012-05-07,155.79,155.7121,TREND_EXIT,1743.4659,22.1737,1721.2922,8.0805,1.7725,49
29,ITC,2012-06-29,2012-07-02,171.81,171.8959,164.0862,3.904849,126,988.3268,2012-07-02,164.0862,164.0042,STOP_LOSS,-994.3594,21.1617,-1015.5211,-4.6887,-1.0275,0
