date,symbol,open,high,low,close,volume
2005-04-01,ITC,29.5,30.2,29.22,29.89,20670000.0
2005-04-04,ITC,30.08,30.54,29.39,29.82,17080000.0
2005-04-05,ITC,30.16,30.38,29.79,29.85,14110000.0
2005-04-06,ITC,29.92,30.43,29.83,30.29,9820000.0
2005-04-07,ITC,30.38,30.88,30.19,30.39,22890000.0
2005-04-08,ITC,30.5,31.16,30.16,30.94,28010000.0
2005-04-11,ITC,31.05,31.12,30.61,30.9,7150000.0
2005-04-12,ITC,30.89,31.27,30.72,31.03,7990000.0
2005-04-13,ITC,31.15,31.58,30.96,31.32,15300000.0
2005-04-15,ITC,31.23,31.31,30.15,30.43,10450000.0
2005-04-18,ITC,30.14,31.05,29.83,30.48,8790000.0
2005-04-19,ITC,30.93,30.93,30.23,30.39,7580000.0
2005-04-20,ITC,30.39,31.2,30.16,30.33,20990000.0
2005-04-21,ITC,30.33,30.94,30.05,30.92,7770000.0
2005-04-22,ITC,31.05,31.18,30.65,30.8,5030000.0
2005-04-25,ITC,30.96,31.05,30.5,30.6,3920000.0
2005-04-26,ITC,30.7,30.83,30.35,30.52,5280000.0
2005-04-27,ITC,30.66,31.58,30.34,30.98,23640000.0
2005-04-28,ITC,31.07,32.57,30.94,32.05,35930000.0
2005-04-29,ITC,32.04,32.04,31.22,31.77,20410000.0
2005-05-02,ITC,31.82,31.93,30.94,31.14,11520000.0
2005-05-03,ITC,29.88,31.52,29.88,31.24,6540000.0
2005-05-04,ITC,31.34,31.89,31.08,31.52,9470000.0
2005-05-05,ITC,30.94,31.66,30.94,31.3,10320000.0
2005-05-06,ITC,32.64,32.64,31.07,31.84,13700000.0
2005-05-09,ITC,31.6,32.86,31.6,32.77,12890000.0
2005-05-10,ITC,32.77,32.77,32.31,32.53,8039999.999999999
2005-05-11,ITC,31.82,32.77,31.82,32.62,12430000.0
2005-05-12,ITC,32.82,32.9,32.23,32.42,15740000.0
2005-05-13,ITC,32.57,32.81,32.22,32.71,13750000.0
2005-05-16,ITC,32.6,33.08,32.49,32.87,17620000.0
2005-05-17,ITC,32.27,32.99,32.27,32.68,16190000.000000002
2005-05-18,ITC,32.57,33.03,32.31,32.83,29410000.0
2005-05-19,ITC,32.82,33.69,32.73,33.12,20560000.0
2005-05-20,ITC,32.71,33.32,32.71,33.1,17850000.0
2005-05-23,ITC,32.79,33.1,32.79,32.97,8310000.000000001
2005-05-24,ITC,32.88,33.55,32.82,33.2,15770000.0
2005-05-25,ITC,33.11,33.68,33.11,33.5,10770000.0
2005-05-26,ITC,33.55,33.96,33.19,33.85,28260000.0
2005-05-27,ITC,33.9,35.68,33.81,34.71,61280000.0
2005-05-30,ITC,34.69,35.16,34.28,34.42,29100000.0
2005-05-31,ITC,34.47,35.36,34.47,35.34,32470000.0
2005-06-01,ITC,35.36,35.53,34.92,35.17,16460000.0
2005-06-02,ITC,35.17,35.51,34.41,34.49,18650000.0
2005-06-03,ITC,34.65,35.14,34.26,34.97,16930000.0
2005-06-04,ITC,34.76,35.2,34.76,34.95,3550000.0
2005-06-06,ITC,35.16,35.18,34.85,34.95,6170000.0
2005-06-07,ITC,35.11,35.11,34.19,34.26,18230000.0
2005-06-08,ITC,34.58,35.03,34.52,34.94,16280000.000000002
2005-06-09,ITC,34.94,35.14,34.74,34.82,14960000.0
2005-06-10,ITC,34.81,35.07,34.42,34.53,9200000.0
2005-06-13,ITC,34.65,34.83,34.52,34.74,8650000.0
2005-06-14,ITC,34.69,34.86,34.39,34.71,10930000.0
